clean_text,severity
ive experiencing muscular weakness stiffness neck recently joints swollen making difficult walk without becoming stiff walking also excruciatingly uncomfortable,1
strange pain stomach area dont know reason behind moreover starting get mild fever along chills headaches,1
along excessive appetite stiff neck depression impatience visual disturbance ive also suffering indigestion headaches blurred vision stomach problems,1
constipation belly pain really uncomfortable belly pain getting worse starting affect daily life moreover get chills every night followed mild fever,1
high fever red spots rashes body feel exhausted completely lost appetite made weak lethargic really worried,1
respiratory issues especially unexpectedly im sweating flushed frequently yeast infections urinary tract infections,1
always get tickle throat feel fatigued skin begun feel dry well ocular edema occasion,1
back pain chronic cough muscle weakness bothering concerns dizziness losing position neck hurts,1
ive experienced severe itching chills nausea high fever along headache im also perspiring lot ive also bothered nausea muscle ache,1
dealing headache chest pain days today dizziness loss balance became much worse,2
ive feeling really tired sick ive sneezing lot cant seem get warm im tired head killing fever really high like im boiling,0
even dont anything acidic stomach constantly sour taste mouth frequently lump throat hiccups,1
along excessive appetite stiff neck headaches indigestion acid reflux ive also experiencing sadness impatience visual distortion,1
ive high fever past days starting worry dont know whats causing also red spots arms legs swollen,1
along headache chest pain also experienced fainting balance issues additionally ive discovered hard focus,2
frequently vomit get discomfort pelvic area urine occasionally smells almost unbearably bad occasionally blood headaches times problems falling asleep,1
neck tense ive feeling like muscles incredibly weak trouble moving since joints enlarged walk quite painful,1
overweight noticed legs swollen blood vessels visible legs swollen see stream swollen veins calves,1
lately ive stiffness weakness neck muscles since joints matured difficult american state operate without becoming stiff furthermore walking quite painful,1
along chest pain dizziness ive headache seems like sharp pain forehead,2
ive experiencing balance issues headache chest pain dizziness ive also realised im trouble focusing,2
constipation discomfort bowel motions anus pain recently bothering anus quite inflamed stool extremely bloody,1
nasty rash appeared skin blackheads pimples packed pus everywhere additionally skin extremely sensitive,0
ive coughing nonstop days also respiratory issues fever roof im weak worn symptoms really challenging control,1
since ive constipated using restroom quite challenging go aches ive blood stool anus quite itchy irritating ive also experiencing discomfort butt,1
fever feel quite woozy lightheaded heart pounding head absolutely foggy ability think properly impaired everything appears somewhat blurry,1
ive experiencing lot itching skin sometimes turns rash also strange patches skin different color rest sometimes get little bumps look like nodules,1
ive persistent cough days also breathing problems im weak exhausted fever roof difficult manage symptoms ive also coughing lot mucus im becoming angry everything,1
ive really hard time going bathroom lately really painful im able go every days theres also lot pain anus around area stool really bloody anus feels really irritated,1
routinely experience heartburn indigestion particularly consuming spicy fatty foods lean forward lie chest discomfort becomes worse chest hurts lot well,1
ive experiencing frequent intense abrupt cravings urinate sometimes get blood pee smells awful believe infection,1
feeling extremely exhausted persistent cough hard catch breath fever high ive also producing lot mucus cough,1
throat mouth dry ive also feeling hungry hungry sometimes feel quite exhausted,1
entire body trembling shaky ive lost ability taste smell im worn sometimes get racing heart palpitations,1
itchy skin lots red bumps arms legs weird looking spots skin sometimes bumps feel kind hard,1
ive diarrhoea loose watery stools many times day ive lost appetite always sick im also developing mild fever also abdominal part pains lot dont know reason behind,1
im lot problems breathing im feeling good im sweating lot lot mucous throat chest hurts breathing laboured phlegm im coughing odd tint,2
experiencing headache chest pain dizziness difficulty maintaining balance also feel like trouble concentrating,2
ive experiencing lot scratching chills vomiting fever also headache perspiring lot ive terrible nausea soreness muscles,1
high fever severe itching chills vomiting addition ive perspiring lot headache ive also bothered nausea muscle ache,1
skin peeling places especially knees elbows arms peeling often accompanied painful burning sensation also developing small dents nails really concerning,0
lately ive experiencing constipation pain bowel movements pain anus stool also really bloody anus really irritated,1
pain near pelvic region vomit lot sometimes blood pee almost foul smell urinei sometimes get headches trouble sleeping due,1
vomiting experiencing accompanied stomach cramps dizziness lost apetite feel weak result pain behind eyes,1
feeling itchy vomiting also tired lost weight fever high skin become yellow experiencing abdominal pain well,1
ive lost lot stuff bloody stools including iron bloos anaemia usually feel fairly weak,1
ive gained lot weight quite fat appetite varies desires various things,1
frequently getting sudden strong urges pee blood pee sometimes foul smelling think infection,1
ive struggling back pain chronic cough limb weakness ive feeling disoriented weak feet neck hurts,1
skin around veins legs dry flaky causing discomfort irritation also starting get frequent cramps,1
ive getting chills feeling tired cant seem shake cough chest aches heart feels like racing million miles per hour cough im coughing foul rusty phlegm,2
awoke morning see horrible rash skin several blackheads pimples loaded pus skin also scurrying,0
